"defense","rushing_yds","year"
"861","MIN",4,"2015"
"862","MIN",5,"2015"
"863","MIN",-2,"2015"
"864","MIN",5,"2015"
"865","MIN",-5,"2015"
"866","MIN",0,"2015"
"867","MIN",4,"2015"
"868","MIN",4,"2015"
"869","GB",1,"2015"
"870","ARI",6,"2015"
"871","ARI",2,"2015"
"872","ARI",6,"2015"
"873","ARI",2,"2015"
"874","ARI",4,"2015"
"875","ARI",1,"2015"
"876","OAK",4,"2015"
"877","KC",-2,"2015"
"878","KC",0,"2015"
"879","DET",1,"2015"
"880","DET",4,"2015"
"881","DET",-2,"2015"
"882","DET",1,"2015"
"883","DET",6,"2015"
"884","MIN",9,"2015"
"885","MIN",4,"2015"
"886","MIN",4,"2015"
"887","MIN",4,"2015"
"888","MIN",4,"2015"
"889","MIN",6,"2015"
"890","MIN",5,"2015"
"891","MIN",-1,"2015"
"892","MIN",3,"2015"
"893","MIN",2,"2015"
"894","MIN",4,"2015"
"895","MIN",2,"2015"
"896","SD",3,"2015"
"897","SD",6,"2015"
"898","SD",2,"2015"
"899","SD",4,"2015"
"900","SD",3,"2015"
"901","SD",4,"2015"
"902","SD",3,"2015"
"903","SD",5,"2015"
"904","SD",3,"2015"
"905","SD",16,"2015"
"906","SD",2,"2015"
"907","SD",5,"2015"
"908","SD",3,"2015"
"909","SD",-1,"2015"
"910","SD",4,"2015"
"911","SD",1,"2015"
"912","SD",0,"2015"
"913","SD",9,"2015"
"914","STL",-1,"2015"
"915","STL",5,"2015"
"916","STL",2,"2015"
"917","STL",1,"2015"
"918","STL",2,"2015"
"919","STL",0,"2015"
"920","STL",3,"2015"
"921","STL",3,"2015"
"922","STL",1,"2015"
"923","STL",-1,"2015"
"924","STL",23,"2015"
"925","STL",2,"2015"
"926","STL",-2,"2015"
"927","STL",11,"2015"
"928","STL",0,"2015"
"929","STL",2,"2015"
"930","STL",14,"2015"
"931","STL",0,"2015"
"932","STL",2,"2015"
"933","STL",6,"2015"
"934","DEN",4,"2015"
"935","DEN",2,"2015"
"936","DEN",3,"2015"
"937","DEN",0,"2015"
"938","DEN",1,"2015"
"939","DEN",0,"2015"
"940","DEN",1,"2015"
"941","DEN",4,"2015"
"942","DEN",3,"2015"
"943","DEN",5,"2015"
"944","DEN",2,"2015"
"945","DEN",-2,"2015"
"946","DEN",2,"2015"
"947","GB",5,"2015"
"948","GB",4,"2015"
"949","GB",4,"2015"
"950","GB",14,"2015"
"951","GB",1,"2015"
"952","GB",6,"2015"
"953","GB",-4,"2015"
"954","GB",0,"2015"
"955","GB",9,"2015"
"956","GB",-5,"2015"
"957","GB",1,"2015"
"958","GB",13,"2015"
"959","SF",6,"2015"
"960","SF",6,"2015"
"961","SF",2,"2015"
"962","SF",14,"2015"
"963","SF",9,"2015"
"964","SF",4,"2015"
"965","SF",5,"2015"
"966","SF",4,"2015"
"967","SF",2,"2015"
"968","SF",2,"2015"
"969","SF",5,"2015"
"970","SF",0,"2015"
"971","WAS",3,"2015"
