"full_name","year","rushing_yds"
"55716","Adrian Peterson",2012,4
"55717","Adrian Peterson",2012,5
"55718","Adrian Peterson",2012,3
"55719","Adrian Peterson",2012,6
"55720","Adrian Peterson",2012,0
"55721","Adrian Peterson",2012,3
"55722","Adrian Peterson",2012,2
"55723","Adrian Peterson",2012,0
"55724","Adrian Peterson",2012,8
"55725","Adrian Peterson",2012,8
"55726","Adrian Peterson",2012,5
"55727","Adrian Peterson",2012,4
"55728","Adrian Peterson",2012,11
"55729","Adrian Peterson",2012,11
"55730","Adrian Peterson",2012,11
"55731","Adrian Peterson",2012,-1
"55732","Adrian Peterson",2012,6
"55733","Adrian Peterson",2012,0
"55734","Adrian Peterson",2012,5
"55735","Adrian Peterson",2012,0
"55736","Adrian Peterson",2012,-2
"55737","Adrian Peterson",2012,64
"55738","Adrian Peterson",2012,3
"55739","Adrian Peterson",2012,-2
"55740","Adrian Peterson",2012,5
"55741","Adrian Peterson",2012,74
"55742","Adrian Peterson",2012,1
"55743","Adrian Peterson",2012,0
"55744","Adrian Peterson",2012,16
"55745","Adrian Peterson",2012,0
"55746","Adrian Peterson",2012,2
"55747","Adrian Peterson",2012,1
"55748","Adrian Peterson",2012,2
"55749","Adrian Peterson",2012,4
"55750","Adrian Peterson",2012,24
"55751","Adrian Peterson",2012,15
"55752","Adrian Peterson",2012,-1
"55753","Adrian Peterson",2012,-1
"55754","Adrian Peterson",2012,28
"55755","Adrian Peterson",2012,0
"55756","Adrian Peterson",2012,12
"55757","Adrian Peterson",2012,7
"55758","Adrian Peterson",2012,2
"55759","Adrian Peterson",2012,-2
"55760","Adrian Peterson",2012,3
"55761","Adrian Peterson",2012,1
"55762","Adrian Peterson",2012,15
"55763","Adrian Peterson",2012,0
"55764","Adrian Peterson",2012,14
"55765","Adrian Peterson",2012,2
"55766","Adrian Peterson",2012,-3
"55767","Adrian Peterson",2012,-2
"55768","Adrian Peterson",2012,4
"55769","Adrian Peterson",2012,3
"55770","Adrian Peterson",2012,3
"55771","Adrian Peterson",2012,4
"55772","Adrian Peterson",2012,0
"55773","Adrian Peterson",2012,4
"55774","Adrian Peterson",2012,4
"55775","Adrian Peterson",2012,4
"55776","Adrian Peterson",2012,19
"55777","Adrian Peterson",2012,61
"55778","Adrian Peterson",2012,21
"55779","Adrian Peterson",2012,2
"55780","Adrian Peterson",2012,-1
"55781","Adrian Peterson",2012,3
"55782","Adrian Peterson",2012,3
"55783","Adrian Peterson",2012,0
"55784","Adrian Peterson",2012,1
"55785","Adrian Peterson",2012,6
"55786","Adrian Peterson",2012,1
"55787","Adrian Peterson",2012,5
"55788","Adrian Peterson",2012,8
"55789","Adrian Peterson",2012,4
"55790","Adrian Peterson",2012,0
"55791","Adrian Peterson",2012,1
"55792","Adrian Peterson",2012,5
"55793","Adrian Peterson",2012,4
"55794","Adrian Peterson",2012,10
"55795","Adrian Peterson",2012,6
"55796","Adrian Peterson",2012,14
"55797","Adrian Peterson",2012,8
"55798","Adrian Peterson",2012,4
"55799","Adrian Peterson",2012,23
"55800","Adrian Peterson",2012,8
"55801","Adrian Peterson",2012,0
"55802","Adrian Peterson",2012,2
"55803","Adrian Peterson",2012,3
"55804","Adrian Peterson",2012,3
"55805","Adrian Peterson",2012,5
"55806","Adrian Peterson",2012,8
"55807","Adrian Peterson",2012,3
"55808","Adrian Peterson",2012,3
"55809","Adrian Peterson",2012,2
